Indicação Fiscal;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
74.073.035;34.0.0012.0518; 30/07/2015 ; 28/10/2015 ;;DAVID GERONASSO;1.084;BOA VISTA;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Boa Vista;2;1;0;337.004;HABITAÇÃO UNIFAMILIAR;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";484,00;308,39;0;0,00;73,57;19,99;0;0;MARILENE BESPALHOK;PR0000028809D;MARILENE BESPALHOK;PR0000028809D;;;;
81.877.016;73.4.0025.0224; 30/07/2015 ; 28/10/2015 ; 01/10/2015 ;ALBERTO STERION;935;UMBARÁ;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;0;337.025;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";152,00;148,00;0;0,00;148,00;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;;;
82.303.007;57.1.0016.0910; 30/07/2015 ; 28/10/2015 ;;GUILHERME NIEVOLA;62;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;0;336.994;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.723,65;180,36;0;0,00;180,36;0,00;0;1;MARCIO RODRIGUES PINTO GODOI;PR0000143747D;MARCIO RODRIGUES PINTO GODOI;PR0000143747D;;;;
82.595.004;65.6.0194.0036; 30/07/2015 ; 28/10/2015 ; 13/12/2016 ;PAULO MAURÍCIO SILVEIRA COSTA;202;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;1;2;0;337.024;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";200,00;99,76;0;0,00;99,76;0,00;0;0;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
82.720.015;65.3.0084.0198; 30/07/2015 ; 28/10/2015 ; 26/10/2015 ;ANA ALZIRA PEREIRA;85;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;1;2;0;337.009;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";160,80;74,04;0;0,00;74,04;0,00;0;0;OCIMAR ANDRADE DOS SANTOS;;OCIMAR ANDRADE DOS SANTOS;;;;;
82.928.010;73.4.0099.0192; 30/07/2015 ; 28/10/2015 ; 25/09/2015 ;WILSON REINALDO PELANDA;73;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;1;0;337.029;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;147,69;0;0,00;147,69;0,00;0;0;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
84.597.053;65.4.0147.0556; 30/07/2015 ; 28/10/2015 ; 24/04/2017 ;SÃO JOSÉ DOS PINHAIS;2.307;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;4;0;337.008;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";259,03;268,12;0;0,00;268,12;0,00;0;0;ARAN CESAR MELLO;PR0000015789D;ARAN CESAR MELLO;PR0000015789D;;;;
86.277.198;56.5.0028.0882; 30/07/2015 ; 28/10/2015 ; 08/12/2017 ;DOUTOR BLEY ZORNIG;2.776;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;0;336.997;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";4.290,00;224,69;0;0,00;224,69;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
87.469.020;71.6.0005.0218; 30/07/2015 ; 28/10/2015 ; 23/09/2015 ;JULIA FERREIRA DO AMARAL STAMM;264;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;337.012;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";164,88;81,70;0;0,00;81,70;0,00;0;0;VIVIAN LUCIA ASINELLI MARTYNETZ;PR0000017457D;VIVIAN LUCIA ASINELLI MARTYNETZ;PR0000017457D;;;;
87.630.022;71.6.0125.0204; 30/07/2015 ; 28/10/2015 ;;DAVENIR MARQUES VIANA;28;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;0;336.999;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;69,95;0;0,00;69,95;0,00;0;0;;;;;;;;
87.714.028;71.0.0019.0244; 30/07/2015 ; 28/10/2015 ; 30/12/2015 ;DARCY DO ROCIO FORTUNATO DE LIMA -LIMINHA;68;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;0;337.000;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;70,00;0;0,00;70,00;0,00;0;0;;;;;;;;
89.161.074;77.0.0007.1260; 30/07/2015 ; 28/10/2015 ; 27/08/2019 ;FREI EURICO DE MELLO;223;CIDADE INDUSTRIAL;ZUM - ZONA DE USO MISTO 1;Unidade Regional CIC;4;304;0;337.028;CONJUNTO HABITACIONAL DE EDIFÍCIOS DE APARTAMENTOS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";31.922,18;21.083,48;0;0,00;21.083,48;0,00;0;0;SILVANA PUTECOVSKI;A0326640;JOAQUIM RIBAS DE ANDRADE NETO;PR0000003865D;CONSTRUTORA ANDRADE RIBEIRO LTDA;;;
89.169.013;75.7.0031.0334; 30/07/2015 ; 28/10/2015 ;;ARTHUR MARTINS FRANCO;405;CIDADE INDUSTRIAL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;1;0;337.019;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";22.219,85;123,98;0;0,00;123,98;0,00;0;0;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;ANTONIO VALMOR JUNKES JUNIOR;PR0000032577D;;;;
89.431.023;76.9.0004.0384; 30/07/2015 ; 28/10/2015 ; 14/07/2017 ;VINTE E CINCO DE DEZEMBRO;47;CIDADE INDUSTRIAL;ZS1 - ZONA DE SERVIÇOS 1;Unidade Regional CIC;1;1;0;336.998;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";180,00;43,29;0;0,00;43,29;0,00;0;0;;;;;;;;
98.071.005;55.0.0094.0654; 30/07/2015 ; 28/10/2015 ;;DAS OLARIAS;550;ATUBA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;0;337.020;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";79.168,06;248,85;0;0,00;248,85;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
11.098.009;01.0.0006.0166; 30/09/2015 ; 29/12/2015 ;;MARECHAL FLORIANO PEIXOTO;170;CENTRO;ZC - ZONA CENTRAL;Unidade Regional Matriz;0;0;10;338.301;COMÉRCIO E SERVIÇO SETORIAL;******;REFORMA SIMPLIFICADA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";452,00;0,00;0;0,00;319,15;319,15;0;0;;;;;;;;
29.069.052;44.4.0001.0240; 30/09/2015 ; 29/12/2015 ;;ANGELO BOM;196;CAMPO COMPRIDO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Santa Felicidade;2;1;0;338.280;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";13.396,75;317,62;0;0,00;317,62;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;ANDRE ABREU BRAZ;PR0000033826D;;;;
29.069.052;44.4.0001.0240; 30/09/2015 ; 29/12/2015 ;;ANGELO BOM;196;CAMPO COMPRIDO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Santa Felicidade;2;1;0;338.282;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";13.396,75;294,53;0;0,00;294,53;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
29.069.052;44.4.0001.0240; 30/09/2015 ; 29/12/2015 ;;ANGELO BOM;196;CAMPO COMPRIDO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Santa Felicidade;2;1;0;338.288;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";13.396,75;281,25;0;0,00;281,25;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
39.032.131;63.1.0002.0382; 30/09/2015 ; 29/12/2015 ; 04/10/2017 ;ESTEPHANO REVA;152;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;6;0;338.285;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";924,16;924,58;0;0,00;924,58;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
39.072.017;60.0.0099.0044; 30/09/2015 ; 29/12/2015 ; 07/12/2015 ;MAGDALENA CHAGAS LIMA;169;SÃO BRAZ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;2;0;338.283;HABITAÇÃO UNIFAMILIAR;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";374,00;208,35;0;0,00;57,20;35,92;0;0;MAURO EDSON SWAROFSKY;PR0000028366D;MAURO EDSON SWAROFSKY;PR0000028366D;;;;
41.007.021;09.0.0101.0070; 30/09/2015 ; 29/12/2015 ;;ALMIRANTE GONÇALVES;2.479;ÁGUA VERDE;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;2;3;0;338.286;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";360,00;683,74;0;0,00;683,74;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
45.104.014;43.0.0053.0138; 30/09/2015 ; 29/12/2015 ; 08/02/2018 ;MAJOR FRANÇA GOMES;300;SANTA QUITÉRIA;ECO - EIXO CONECTOR OESTE 4;Unidade Regional Portao;4;8;0;338.313;HABITAÇÃO COLETIVA;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";456,00;1.269,75;0;0,00;1.269,75;0,00;1;1;DIEGO WOLFF;;DIEGO WOLFF;;;;;
57.001.009;63.0.0014.0090; 30/09/2015 ; 29/12/2015 ;;MARCHANJO BIANCHINI;100;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;1;1;0;338.284;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";374,00;173,11;0;0,00;173,11;0,00;0;1;EDUARDO LUIZ WALESKI;PR0000070081D;EDUARDO LUIZ WALESKI;PR0000070081D;CAMPOS PRESTADORA DE SERVIÇO LTDA;;;
65.142.016;27.2.0078.0866; 30/09/2015 ; 29/12/2015 ; 26/01/2017 ;ARISTIDES PEREIRA DA CRUZ;20;PORTÃO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Portao;3;1;0;338.279;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";18.450,09;436,64;0;0,00;436,64;0,00;0;0;MARIO BANDLE SOLER;PR0000029419D;MARIO BANDLE SOLER;PR0000029419D;;;;
77.038.028;63.4.0049.0230; 30/09/2015 ; 29/12/2015 ;;FREDOLIN WOLF;4.810;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;4;32;0;338.290;HABITAÇÃO COLETIVA;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.851,52;3.411,35;0;0,00;3.411,35;0,00;1;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;FERNANDO CAETANO SAFIEDDINE;PR0000137896D;;;;
79.015.007;63.4.0031.0188; 30/09/2015 ; 29/12/2015 ;;JOÃO REFFO;793;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;1;0;2;338.281;COMÉRCIO E SERVIÇO VICINAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";462,00;129,60;0;0,00;129,60;0,00;0;0;RUI LUIZ LAMMEL;PR0000016704D;RUI LUIZ LAMMEL;PR0000016704D;;;;
79.077.008;61.3.0029.0452; 30/09/2015 ; 29/12/2015 ; 21/09/2018 ;ORLANDO PERUCI;1.000;BUTIATUVINHA;ZUCII - ZONA DE URBANIZAÇÃO CONSOLIDADA II - APA PASSAÚNA;Unidade Regional Santa Felicidade;1;1;0;338.289;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";41.743,08;533,69;0;0,00;533,69;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DANILO HAUSER;PR0000022091D;;;;
81.720.009;57.0.0099.0346; 30/09/2015 ; 29/12/2015 ;;OCTACYR REYNALDO MION;532;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;2;1;0;338.298;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";25.839,78;311,55;0;0,00;311,55;0,00;0;1;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
83.485.039;66.1.0006.0446; 30/09/2015 ; 29/12/2015 ;;DURVAL JUNGLES;158;PINHEIRINHO;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Pinheirinho;2;1;0;338.294;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";9.438,24;140,09;0;0,00;140,09;0,00;0;0;RUI LUIZ LAMMEL;PR0000016704D;RUI LUIZ LAMMEL;PR0000016704D;;;;
84.260.122;56.6.0057.0520; 30/09/2015 ; 29/12/2015 ; 29/08/2019 ;HYRON HOMERO DAMASCENO CASSOU;119;BOQUEIRÃO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;2;1;0;338.297;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";14.880,00;343,05;0;0,00;343,05;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
86.353.059;64.6.0061.1674; 30/09/2015 ; 29/12/2015 ;;CIDADE DE GOIOERÊ;401;ALTO BOQUEIRÃO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Boqueirao;2;1;0;338.296;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";5.689,36;205,81;0;0,00;205,81;0,00;0;0;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
87.076.022;74.4.0075.0170; 30/09/2015 ; 29/12/2015 ;;PRESIDENTE JOAO GOULART;1.495;TATUQUARA;ZROI - ZONA RESIDENCIAL DE OCUPAÇÃO INTEGRADA;Unidade Regional Tatuquara;2;1;0;338.305;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";35.097,01;126,66;0;0,00;126,66;0,00;0;0;GILBERTO FIGUEIREDO DE OLIVEIRA;A0588873;GILBERTO FIGUEIREDO DE OLIVEIRA;A0588873;;;;
87.468.046;71.6.0006.0470; 30/09/2015 ; 29/12/2015 ; 11/12/2015 ;ADOLPHO BERTOLDI;129;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;3;0;338.307;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";247,31;116,64;0;0,00;116,64;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
87.496.028;71.6.0041.0020; 30/09/2015 ; 29/12/2015 ; 07/12/2015 ;HUMBERTO BERTOLDI;129;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;338.309;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";160,00;80,00;0;0,00;80,00;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.062.036;77.0.0007.0555; 30/09/2015 ; 29/12/2015 ; 07/08/2018 ;DESEMBARGADOR CID CAMPELO;6.597;CIDADE INDUSTRIAL;ZUM - ZONA DE USO MISTO 1;Unidade Regional CIC;4;128;0;338.303;CONJUNTO HABITACIONAL DE EDIFÍCIOS DE APARTAMENTOS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";9.151,31;6.368,77;0;0,00;6.368,77;0,00;0;0;BENITO FONTANIVE JUNIOR;PR0000018072D;BENITO FONTANIVE JUNIOR;PR0000018072D;;;;
89.234.011;75.9.0016.0110; 30/09/2015 ; 29/11/2015 ; 16/06/2016 ;LUIZ CARDOSO;130;CIDADE INDUSTRIAL;ZUM - ZONA DE USO MISTO 1;Unidade Regional CIC;0;1;0;338.295;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";200,00;0,00;0;0,00;23,10;0,00;0;0;;;;;;;;
15.095.053;46.0.0002.0230; 30/11/2015 ; 29/02/2016 ; 20/09/2017 ;EMILIO MERCURI;93;SANTO INÁCIO;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Santa Felicidade;1;1;0;339.421;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";627,10;258,38;0;0,00;258,38;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;JOAO PAULO BAGGIO;;;;;
19.022.007;45.2.0021.0210; 30/11/2015 ; 29/02/2016 ; 13/03/2017 ;GRA NICCO;731;MOSSUNGUÊ;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Santa Felicidade;2;2;0;339.420;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";324,93;292,43;0;0,00;292,43;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;SERGIO LUIZ SOTO;PR0000031032D;;;;
26.038.035;21.0.0012.0528; 30/11/2015 ; 29/02/2016 ;;SÃO SIMÃO;128;CAJURU;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Cajuru;2;1;0;339.395;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";368,02;280,79;0;0,00;280,79;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
29.070.285;44.4.0061.0412; 30/11/2015 ; 29/02/2016 ;;MONSENHOR IVO ZANLORENZI;3.480;CAMPO COMPRIDO;ENC - EIXO NOVA CURITIBA;Unidade Regional Santa Felicidade;24;40;0;339.423;HABITAÇÃO COLETIVA;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";3.767,29;14.437,89;0;0,00;14.437,89;0,00;0;3;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;CLEBER CASADO;PR0000048387D;A YOSHII ENGENHARIA E CONSTRUCOES LTDA;;;
38.199.012;36.0.0025.0294; 30/11/2015 ; 29/02/2016 ;;DOUTOR EDUARDO MENDES GONÇALVES;729;BAIRRO ALTO;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 3 - S. NORTE-AIB1;Unidade Regional Boa Vista;2;1;0;339.399;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";51.881,81;316,86;0;0,00;316,86;0,00;0;1;ELISEU HENRIQUE MARTINS;;ELISEU HENRIQUE MARTINS;;;;;
39.064.007;60.1.0044.0146; 30/11/2015 ; 29/02/2016 ;;ANTONIO ESCORSIN;3.040;SÃO BRAZ;ZUCII - ZONA DE URBANIZAÇÃO CONSOLIDADA II - APA PASSAÚNA;Unidade Regional Santa Felicidade;2;0;1;339.412;COMÉRCIO E SERVIÇO VICINAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";463,45;266,58;0;0,00;266,58;0,00;0;0;MARCELO OLIVEIRA ESTURILHO;PR0000102479D;MARCELO OLIVEIRA ESTURILHO;PR0000102479D;;;;
39.151.026;60.1.0019.0120; 30/11/2015 ; 29/02/2016 ;;HERMENEGILDO LUCA;1.874;SÃO BRAZ;ZUCII - ZONA DE URBANIZAÇÃO CONSOLIDADA II - APA PASSAÚNA;Unidade Regional Santa Felicidade;2;1;0;339.416;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";39.110,22;427,61;0;0,00;427,61;0,00;0;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;BLANCA VIEGAS BAGGIO;PR0000050394D;;;;
42.057.014;25.0.0107.0312; 30/11/2015 ; 29/02/2016 ; 02/12/2015 ;CEARÁ;863;PAROLIN;ZUM - ZONA DE USO MISTO 3;Unidade Regional Portao;1;1;0;339.390;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";407,00;220,64;0;0,00;220,64;0,00;0;0;PEDRO BONK;PR0000000680D;PEDRO BONK;PR0000000680D;;;;
43.037.009;28.0.0041.0244; 30/11/2015 ; 29/02/2016 ;;PROFESSOR ÁLVARO JORGE;852;VILA IZABEL;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Portao;1;3;0;339.392;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";880,00;111,00;0;0,00;111,00;0,00;0;0;RODRIGO FRIZZAS PINTO;PR0000110414D;RODRIGO FRIZZAS PINTO;PR0000110414D;;;;
57.017.016;63.0.0015.0268; 30/11/2015 ; 29/02/2016 ; 01/02/2016 ;VEREADOR JOBAR CASSOU;259;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;1;1;0;339.418;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";480,00;48,96;0;0,00;48,96;0,00;0;0;ALDO MOREIRA JUNIOR - ESPOLIO DE;;ALDO MOREIRA JUNIOR - ESPOLIO DE;;;;;
